bike_usage,hour,region,subzone
1685,2023-01-10 19:00:00,lower_west_manhattan,NW
1163,2023-01-10 20:00:00,lower_west_manhattan,NW
779,2023-01-10 21:00:00,lower_west_manhattan,NW
607,2023-01-10 22:00:00,lower_west_manhattan,NW
371,2023-01-10 23:00:00,lower_west_manhattan,NW
184,2023-01-11 00:00:00,lower_west_manhattan,NW
115,2023-01-11 01:00:00,lower_west_manhattan,NW
55,2023-01-11 02:00:00,lower_west_manhattan,NW
32,2023-01-11 03:00:00,lower_west_manhattan,NW
66,2023-01-11 04:00:00,lower_west_manhattan,NW
265,2023-01-11 05:00:00,lower_west_manhattan,NW
710,2023-01-11 06:00:00,lower_west_manhattan,NW
1435,2023-01-11 07:00:00,lower_west_manhattan,NW
2299,2023-01-11 08:00:00,lower_west_manhattan,NW
1685,2023-01-11 09:00:00,lower_west_manhattan,NW
1019,2023-01-11 10:00:00,lower_west_manhattan,NW
979,2023-01-11 11:00:00,lower_west_manhattan,NW
1129,2023-01-11 12:00:00,lower_west_manhattan,NW
1167,2023-01-11 13:00:00,lower_west_manhattan,NW
1334,2023-01-11 14:00:00,lower_west_manhattan,NW
1461,2023-01-11 15:00:00,lower_west_manhattan,NW
1667,2023-01-11 16:00:00,lower_west_manhattan,NW
2429,2023-01-11 17:00:00,lower_west_manhattan,NW
2328,2023-01-11 18:00:00,lower_west_manhattan,NW
1616,2023-01-11 19:00:00,lower_west_manhattan,NW
1032,2023-01-11 20:00:00,lower_west_manhattan,NW
778,2023-01-11 21:00:00,lower_west_manhattan,NW
650,2023-01-11 22:00:00,lower_west_manhattan,NW
334,2023-01-11 23:00:00,lower_west_manhattan,NW
208,2023-01-12 00:00:00,lower_west_manhattan,NW
109,2023-01-12 01:00:00,lower_west_manhattan,NW
66,2023-01-12 02:00:00,lower_west_manhattan,NW
41,2023-01-12 03:00:00,lower_west_manhattan,NW
65,2023-01-12 04:00:00,lower_west_manhattan,NW
272,2023-01-12 05:00:00,lower_west_manhattan,NW
462,2023-01-12 06:00:00,lower_west_manhattan,NW
881,2023-01-12 07:00:00,lower_west_manhattan,NW
985,2023-01-12 08:00:00,lower_west_manhattan,NW
1008,2023-01-12 09:00:00,lower_west_manhattan,NW
