hour_sin,hour_cos,day_of_week,month,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_main
0.9659258262890683,-0.25881904510252063,2,1,11.59,10000.0,9.67,11.1,9.98,13.97,1009,88,3.58,360,8.94,0.59,0.0,0.0,0.0,100,Rain
0.8660254037844387,-0.4999999999999998,2,1,11.9,10000.0,9.98,11.44,10.54,13.41,1009,88,5.36,360,9.39,0.0,0.0,0.0,0.0,100,Clouds
0.7071067811865476,-0.7071067811865475,2,1,12.63,10000.0,9.64,12.09,11.66,14.19,1009,82,4.6,210,0.0,0.0,0.0,0.0,0.0,75,Clouds
0.49999999999999994,-0.8660254037844387,2,1,12.37,10000.0,9.92,11.88,11.64,14.19,1009,85,6.7,260,0.0,0.0,0.0,0.0,0.0,0,Clear
0.258819045102521,-0.9659258262890682,2,1,11.91,10000.0,9.99,11.45,11.08,13.42,1010,88,7.15,360,11.18,0.0,0.0,0.0,0.0,75,Clouds
1.2246467991473532e-16,-1.0,2,1,12.28,10000.0,10.18,11.84,11.65,14.19,1011,87,6.26,360,8.94,0.0,0.0,0.0,0.0,75,Clouds
-0.2588190451025208,-0.9659258262890683,2,1,12.2,9656.0,10.1,11.75,11.65,13.54,1011,87,4.02,360,8.05,0.0,0.0,0.0,0.0,40,Mist
-0.4999999999999997,-0.8660254037844388,2,1,12.77,10000.0,10.83,12.4,12.23,14.53,1012,88,4.92,360,8.49,0.0,0.0,0.0,0.0,40,Clouds
-0.7071067811865471,-0.7071067811865479,2,1,14.11,10000.0,11.09,13.72,13.13,16.19,1013,82,4.1,230,0.0,0.0,0.0,0.0,0.0,0,Clear
-0.8660254037844384,-0.5000000000000004,2,1,15.07,10000.0,11.84,14.75,13.86,16.94,1012,81,2.68,360,5.81,0.0,0.0,0.0,0.0,0,Clear
-0.9659258262890683,-0.25881904510252063,2,1,16.47,10000.0,11.2,16.03,14.99,17.79,1011,71,4.1,140,0.0,0.0,0.0,0.0,0.0,0,Clear
-1.0,-1.8369701987210297e-16,2,1,17.11,10000.0,11.82,16.73,14.99,19.19,1011,71,4.1,190,0.0,0.0,0.0,0.0,0.0,0,Clear
-0.9659258262890684,0.2588190451025203,2,1,15.33,10000.0,11.13,14.9,13.73,17.75,1011,76,6.2,180,0.0,0.0,0.0,0.0,0.0,100,Clouds
-0.8660254037844386,0.5000000000000001,2,1,15.1,10000.0,10.91,14.65,13.31,16.75,1010,76,3.6,180,0.0,0.0,0.0,0.0,0.0,100,Clouds
-0.7071067811865477,0.7071067811865474,2,1,14.34,10000.0,9.16,13.68,13.32,16.09,1010,71,4.6,180,0.0,0.0,0.0,0.0,0.0,40,Clouds
-0.5000000000000004,0.8660254037844384,2,1,13.44,10000.0,9.88,12.9,11.65,15.59,1010,79,5.1,160,0.0,0.38,0.0,0.0,0.0,100,Rain
-0.25881904510252157,0.9659258262890681,2,1,13.33,10000.0,10.69,12.91,11.1,14.41,1010,84,4.1,130,0.0,0.25,0.0,0.0,0.0,100,Rain
0.0,1.0,3,1,12.23,10000.0,9.79,11.73,10.55,13.3,1010,85,4.1,150,0.0,0.25,0.0,0.0,0.0,100,Rain
0.25881904510252074,0.9659258262890683,3,1,12.69,10000.0,10.58,12.29,11.09,13.97,1010,87,2.68,360,4.92,0.3,0.0,0.0,0.0,100,Rain
0.49999999999999994,0.8660254037844387,3,1,12.38,9656.0,10.45,11.97,10.09,13.3,1009,88,2.6,150,0.0,0.0,0.0,0.0,0.0,100,Mist
0.7071067811865475,0.7071067811865476,3,1,11.9,6437.0,9.98,11.44,10.54,12.86,1009,88,3.1,50,0.0,0.0,0.3,0.0,0.0,100,Mist
0.8660254037844386,0.5000000000000001,3,1,10.98,6437.0,9.07,10.43,10.19,11.66,1009,88,5.1,60,0.0,0.0,0.0,0.0,0.0,100,Mist
0.9659258262890683,0.25881904510252074,3,1,9.92,4023.0,9.0,7.86,9.19,11.1,1009,94,4.1,70,0.0,0.25,0.0,0.0,0.0,100,Mist
1.0,6.123233995736766e-17,3,1,9.67,4828.0,7.44,7.55,9.03,11.23,1010,86,4.1,60,0.0,0.1,0.0,0.0,0.0,100,Rain
0.9659258262890683,-0.25881904510252063,3,1,9.59,6437.0,8.67,7.96,8.88,11.23,1010,94,3.1,70,0.0,0.25,0.0,0.0,0.0,100,Rain
0.8660254037844387,-0.4999999999999998,3,1,9.58,10000.0,8.02,7.95,8.53,10.68,1011,90,3.1,60,0.0,0.0,0.0,0.0,0.0,100,Clouds
0.7071067811865476,-0.7071067811865475,3,1,9.69,10000.0,8.13,7.58,8.42,10.54,1011,90,4.1,60,0.0,0.0,0.28,0.0,0.0,100,Rain
0.49999999999999994,-0.8660254037844387,3,1,9.74,10000.0,8.18,9.35,8.42,10.68,1012,90,1.5,90,0.0,0.0,0.0,0.0,0.0,100,Clouds
0.258819045102521,-0.9659258262890682,3,1,9.89,2414.0,8.33,9.48,8.98,10.68,1013,90,1.54,40,,0.0,0.0,0.0,0.0,100,Mist
1.2246467991473532e-16,-1.0,3,1,9.69,1207.0,8.29,7.81,8.98,10.68,1014,91,3.6,50,0.0,0.0,0.0,0.0,0.0,100,Mist
-0.2588190451025208,-0.9659258262890683,3,1,9.31,2012.0,7.92,7.94,8.41,9.99,1014,91,2.6,60,0.0,0.0,0.0,0.0,0.0,100,Mist
-0.4999999999999997,-0.8660254037844388,3,1,9.55,4828.0,8.16,8.22,8.41,9.99,1015,91,2.6,70,0.0,0.0,0.0,0.0,0.0,100,Mist
-0.7071067811865471,-0.7071067811865479,3,1,9.57,10000.0,8.65,7.01,8.42,9.99,1016,94,5.1,60,0.0,0.0,0.0,0.0,0.0,100,Clouds
-0.8660254037844384,-0.5000000000000004,3,1,9.56,10000.0,8.33,7.0,8.42,10.12,1015,92,5.1,60,0.0,0.0,0.0,0.0,0.0,100,Clouds
-0.9659258262890683,-0.25881904510252063,3,1,9.58,10000.0,8.02,7.44,8.87,10.68,1015,90,4.1,60,0.0,0.0,0.0,0.0,0.0,100,Clouds
-1.0,-1.8369701987210297e-16,3,1,9.64,10000.0,8.08,7.75,8.87,10.54,1015,90,3.6,50,0.0,0.0,0.0,0.0,0.0,100,Clouds
-0.9659258262890684,0.2588190451025203,3,1,9.84,10000.0,7.95,8.0,8.87,10.55,1014,88,3.6,50,0.0,0.0,0.0,0.0,0.0,100,Clouds
-0.8660254037844386,0.5000000000000001,3,1,9.63,10000.0,7.91,7.29,8.42,10.54,1014,89,4.6,60,0.0,0.25,0.0,0.0,0.0,100,Rain
-0.7071067811865477,0.7071067811865474,3,1,9.11,10000.0,7.56,6.86,7.76,10.54,1014,90,4.1,30,0.0,0.0,0.0,0.0,0.0,100,Clouds
-0.5000000000000004,0.8660254037844384,3,1,8.75,10000.0,7.36,6.67,7.76,9.41,1014,91,3.6,180,0.0,0.26,0.0,0.0,0.0,100,Rain
-0.25881904510252157,0.9659258262890681,3,1,8.64,10000.0,6.26,6.28,7.69,9.43,1014,85,4.1,170,0.0,0.12,0.0,0.0,0.0,100,Rain
0.0,1.0,4,1,8.53,10000.0,6.49,7.01,7.69,9.41,1014,87,2.6,40,0.0,0.0,0.0,0.0,0.0,100,Rain
0.25881904510252074,0.9659258262890683,4,1,7.94,10000.0,6.24,5.41,7.19,9.01,1015,89,4.12,90,,0.0,0.0,0.0,0.0,100,Clouds
0.49999999999999994,0.8660254037844387,4,1,7.95,10000.0,6.89,5.69,7.19,9.01,1015,93,3.6,140,0.0,0.0,0.0,0.0,0.0,100,Clouds
0.7071067811865475,0.7071067811865476,4,1,8.06,4828.0,7.15,5.57,7.14,9.01,1015,94,4.1,130,0.0,0.0,0.0,0.0,0.0,100,Mist
0.8660254037844386,0.5000000000000001,4,1,7.7,4023.0,6.8,4.89,6.69,8.33,1015,94,4.6,60,0.0,0.25,0.0,0.0,0.0,100,Mist
0.9659258262890683,0.25881904510252074,4,1,7.49,10000.0,6.59,4.17,6.65,8.45,1015,94,5.7,120,0.0,0.25,0.0,0.0,0.0,100,Rain
