station_name,lat,lng
W 100 St & Broadway,40.7973721,-73.97041192
W 30 St & 10 Ave,40.752694,-74.002353
Sands St Gate,40.699569,-73.979827
Park Pl & Thomas S. Boyland St,40.67154,-73.91433
East End Ave & E 86 St,40.77518615,-73.94446054
Macon St & Lewis Ave,40.68282,-73.93488
36 St & 47 Ave,40.742245913,-73.92937398
E 2 St & Avenue A,40.723297715,-73.98613739
Cabrini Blvd & W 177 St,40.848433495,-73.941274881
Broadway & Roebling St,40.70924826276157,-73.96063148975372
E 10 St & Avenue A,40.72740794,-73.98142006
27 St & Hunter St,40.748596907,-73.941151023
E 14 St & Avenue B,40.729427218,-73.977837801
Jerome Ave & Bedford Park Blvd E,40.872953892,-73.889737964
Nagle Ave & Thayer St,40.861479521,-73.925227761
Jerome Ave & E 181 St,40.855657816,-73.905549288
Hoyt St & Warren St,40.684328198,-73.988945127
E 118 St & Park Ave,40.800510168,-73.941949129
Kenmare St & Elizabeth St,40.72054,-73.9949
6 Ave & W 34 St,40.749585986,-73.988007545
Franklin Ave & St Marks Ave,40.6758324,-73.9561677
Lafayette Ave & St James Pl,40.68851534,-73.9647628
Westchester Ave & Longwood Ave,40.819834828,-73.90106678
Edgecombe Ave & W 145 St,40.823443294,-73.944169164
MacDougal St & Prince St,40.72710258,-74.00297088
7 Ave & 40 St,40.648231626,-74.000044227
President St & Henry St,40.682742596,-73.999856234
Columbia St & Degraw St,40.6859296,-74.00242364
Madison Ave & E 82 St,40.778039575,-73.960771203
E 81 St & Park Ave,40.77677702,-73.9590097
Beck St & Leggett Ave,40.815260768,-73.899861455
39 St & Queens Blvd,40.74431,-73.92601
Fort Washington Ave & W 183 St,40.852252,-73.937854
3 St & 3 Ave,40.6750705,-73.98775226
Hunts Point Ave & Bryant Ave,40.814220786,-73.885690808
69 St & 43 Ave,40.741885424,-73.89566803
41 St & 3 Ave,40.652512,-74.008906
Pacific St & Rochester Ave,40.67648828,-73.927447677
48 St & 50 Ave,40.7374264,-73.918044925
W 146 St & Broadway,40.826921225,-73.949770927
W 42 St & 8 Ave,40.757429957,-73.991392136
Thomas S. Boyland St & Fulton St,40.67854,-73.91367
1 St & 6 Ave,40.672784,-73.979826
31 St & Hoyt Ave N,40.7711528,-73.9170074
61 St & Laurel Hill Blvd,40.7388,-73.90338
Ryer Ave & E 182 St,40.855889678,-73.899652719
